Symbol,Date,Time,Bid_Price,Ask_Price,Bid_Size,Ask_Size
ESU13,09/01/2013,17:52:41.399,1641.25,1641.5,46,59
ESU13,09/01/2013,17:52:41.399,1641.25,1641.5,42,59
ESU13,09/01/2013,17:52:41.399,1641.25,1641.5,46,59
ESU13,09/01/2013,17:52:41.450,1641.25,1641.5,42,59
ESU13,09/01/2013,17:52:41.450,1641.25,1641.5,46,59
ESU13,09/01/2013,17:52:41.450,1641.25,1641.5,42,59
ESU13,09/01/2013,17:52:41.450,1641.25,1641.5,46,59
ESU13,09/01/2013,17:52:41.477,1641.25,1641.5,42,59
ESU13,09/01/2013,17:52:41.477,1641.25,1641.5,46,59
ESU13,09/01/2013,17:52:41.901,1641.25,1641.5,42,59
ESU13,09/01/2013,17:52:41.901,1641.25,1641.5,46,59
ESU13,09/01/2013,17:52:42.230,1641.25,1641.5,42,59
ESU13,09/01/2013,17:52:42.230,1641.25,1641.5,46,59
ESU13,09/01/2013,17:52:42.452,1641.25,1641.5,42,59
ESU13,09/01/2013,17:52:42.452,1641.25,1641.5,46,59
ESU13,09/01/2013,17:52:42.452,1641.25,1641.5,42,59
ESU13,09/01/2013,17:52:42.452,1641.25,1641.5,46,59
ESU13,09/01/2013,17:52:42.555,1641.25,1641.5,42,59
ESU13,09/01/2013,17:52:42.555,1641.25,1641.5,46,59
ESU13,09/01/2013,17:52:42.555,1641.25,1641.5,42,59
ESU13,09/01/2013,17:52:42.555,1641.25,1641.5,46,59
ESU13,09/01/2013,17:52:42.660,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:42.660,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:42.660,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:42.679,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:42.679,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:42.686,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:42.686,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:42.695,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:42.695,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:42.695,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:42.695,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:42.702,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:42.702,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:42.728,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:42.728,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:42.728,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:42.728,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:42.748,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:42.748,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:42.772,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:42.772,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:42.805,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:42.805,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:42.805,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:42.805,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:43.119,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:43.119,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:43.204,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:43.204,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:43.227,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:43.227,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:43.275,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:43.275,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:43.559,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:43.559,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:43.809,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:43.809,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:43.855,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:43.855,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:43.855,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:43.855,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:43.855,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:43.855,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:43.875,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:43.875,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:43.908,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:43.908,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:44.058,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:44.058,1641.25,1641.5,46,64
